Churn,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,PercChangeMinutes,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,CallWaitingCalls,UniqueSubs,ActiveSubs,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,HandsetRefurbished,HandsetWebCapable,BuysViaMailOrder,RespondsToMailOffers,RetentionCalls,RetentionOffersAccepted,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating
0,933,50,0.74,8,27.3,0,0,227,105,50.3,93.7,185,6,1,1,1,1,335,0,0,0,1,0,0,0,0,0,15,0,2
0,655,45,6.93,61,94.3,2.3,0,95.4,12,14,161.3,129.7,2.3,1,1,2,2,400,28,0,0,1,0,0,0,0,0,8,0,3
0,110,30,0,-53,11,0,0.3,0,1,0,37,12.3,0,1,1,1,1,563,44,36,0,0,1,1,0,0,0,15,0,2
0,256,10,0,106,24.7,0,0,48.5,20.3,6.7,33.7,61.7,0,3,3,1,1,263,48,48,0,1,1,1,0,0,0,15,0,2
0,16,42,0,-14,1.7,0,0,0.9,5.3,0,4,5,0,2,2,4,3,368,44,0,0,1,0,0,0,0,0,1,0,3
0,1006,100,1.73,145,31.7,2,0.3,194.3,100.3,32.7,284,100.7,6.7,1,1,2,2,325,52,52,0,1,1,1,0,0,0,8,0,1
0,58,30,0.74,21,8.3,0,0,1.6,3,0.7,16,11,0,1,1,1,1,683,36,60,0,1,1,1,0,0,0,15,0,2
1,106,30,0,-55,5.7,0.3,0,18.7,0.3,0.3,8.3,1,0,2,1,1,1,931,48,0,0,1,1,1,0,0,0,15,0,5
0,553,40,0,552,34.7,0,0,59.4,26.7,8.7,75.3,111,0,2,1,1,1,441,0,0,0,1,0,0,0,0,0,15,0,4
0,971,60,2.23,13,22,1.3,0.7,119.2,37,2.7,108.3,98.7,0,1,1,2,2,489,44,0,0,1,0,0,0,0,0,8,0,1
0,1318,45,0,-63,35.3,1.7,0,455.4,120,65.3,240.3,325,0,1,1,2,2,294,48,0,1,1,0,0,0,0,0,3,0,5
0,838,80,2.23,-90,36.3,1.7,0,211.3,122.7,88.7,205.7,59.7,1.3,3,2,2,2,98,0,0,0,1,0,0,0,0,0,3,0,3
0,77,32,0,22,9,0,0,27,8.7,4.3,19.3,2.7,0,2,2,2,1,689,36,40,0,1,0,0,0,0,0,13,0,2
0,1359,84,5.2,-341,33.3,1.3,0,241.7,96.3,9.3,72.3,307.7,1,1,1,3,2,87,30,0,0,1,0,0,0,0,0,5,0,2
0,237,45,0,39,7,0,0,173,0,0,34.7,15.7,0.7,1,1,1,1,544,72,72,0,0,0,1,0,0,0,15,0,2
0,85,10,0,112,12,0,0,3.5,12.3,1,19.3,8.3,0,2,2,1,1,550,38,38,0,1,1,1,0,0,0,15,0,2
0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,308,30,0,0,1,0,0,0,0,0,15,0,2
0,1122,150,4.7,-532,23.7,1.7,0,284.5,67,14.7,119.7,94.7,2.7,1,1,2,2,447,54,30,1,1,1,1,0,0,0,3,0,3
0,409,36,2.48,141,18.7,3.3,0,45.2,12.7,3,106,47,0,2,1,2,2,250,40,76,0,1,0,0,0,0,0,8,0,1
1,256,30,0.25,-98,13.3,0,0,78.3,36.7,0,97.7,40,0.3,1,1,1,1,671,46,38,0,0,0,0,0,0,0,15,0,3
1,1860,42,0.25,-520,93.7,0.7,0,701.2,84,26.3,213,386.3,21,1,1,1,1,181,0,0,0,1,0,0,0,0,0,15,0,7
0,1489,85,9.16,120,123,0.7,0,512.6,98,8,312.7,178.3,10.3,1,1,4,3,85,26,0,0,1,0,0,0,0,0,3,0,5
0,278,10,0,190,18,0,0,94,5.7,11.3,31.7,41,0.7,6,6,3,3,200,24,0,0,1,0,0,0,0,0,14,0,1
1,384,40,0,-21,9.7,0,0,16.1,4.7,1.7,27.7,10.7,0,1,1,2,2,291,36,32,1,1,0,0,0,0,0,13,0,2
1,303,45,0.99,183,10.7,0,0,104.2,2.7,0.3,54.7,40.3,1.3,1,1,2,2,43,38,0,1,1,0,0,0,0,0,3,0,2
0,356,70,0,11,18.3,0,0,137.9,12,18,94.3,28.7,1.3,2,2,1,1,346,0,0,0,1,0,0,0,0,0,15,0,2
0,1302,59,0,445,74.3,12.7,1,130,61.3,8,120.7,195.3,6.7,1,1,2,1,161,0,0,0,1,0,0,0,0,0,14,0,4
0,582,45,0.5,73,49.3,0,0.7,151.1,35,8.7,126,96,0,1,1,1,1,396,58,50,0,1,1,1,0,0,0,15,0,5
0,429,36,2.72,-57,32,12.3,1,113.7,18.3,11.3,58.7,54.7,0.7,1,1,2,2,256,54,54,0,1,1,1,0,0,0,8,0,5
1,636,60,0,-480,32.7,3,2.7,87.4,78.7,0.3,135.7,273.7,2.7,5,4,3,3,361,0,0,0,1,0,0,0,0,0,3,0,2
0,75,28,0,100,1.3,0,0,10.4,4.3,0,7.7,7,0,1,1,1,1,736,32,0,0,1,0,0,0,0,0,15,0,2
0,1773,70,0,87,278.3,5.3,13.7,271.3,30,12,140.7,286.7,7,1,1,1,1,186,36,0,0,1,0,0,0,0,0,15,0,4
0,253,10,0.5,-31,10.3,0,0,7.1,9,2.7,23.3,24.3,0,2,2,2,2,309,0,0,0,1,0,0,0,0,0,0,0,1
0,636,43,3.96,48,83.3,4.3,0,115.6,110,18,192.7,175.3,2,1,1,1,1,226,36,0,0,1,0,0,0,0,0,15,0,4
0,666,45,0.5,139,25.7,0,0,141.3,13.7,0,55.3,146.7,1,1,1,1,1,189,0,0,0,1,0,0,0,0,0,15,0,5
1,9,30,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,797,36,60,0,1,1,1,1,0,0,15,1,2
0,323,37,0,-40,56,2.3,0,34.6,23.3,8.7,74.3,64.3,0,1,1,3,2,14,42,44,1,1,1,1,0,0,0,3,0,2
0,248,45,0.25,-14,6.7,0.3,0,25.7,2,0,18.7,23,0,1,1,1,1,262,52,0,0,1,0,0,0,0,0,15,0,2
0,161,40,0,30,6,0.7,0,8.5,1.7,1,14,9.7,0,2,2,2,2,197,48,0,1,1,1,1,0,0,0,2,0,2
0,51,10,0,119,2.7,0,0,28.1,0,0,2.3,1.3,0,2,2,1,1,398,56,80,0,1,1,1,0,0,0,15,0,2
0,298,30,0,-12,17,0,0.3,92.3,11.7,9.7,48,44,0,1,1,1,1,554,34,0,0,1,0,0,0,0,0,15,0,7
0,498,34,0,-156,43.7,4.7,0,71.3,25.7,2.3,78.3,95,0,1,1,2,2,184,54,24,0,1,1,1,0,0,0,8,0,5
1,656,50,0.99,-142,70.7,3.7,0.3,109.1,54,11.7,210,136.7,2.3,2,1,2,2,1021,50,48,1,0,0,0,0,0,1,8,0,3
0,156,32,0.25,-44,10.3,0,0,34.6,14.7,8.3,68.3,14,0,2,2,1,1,587,32,32,0,1,0,0,0,0,0,15,0,2
0,209,45,0,-8,35.7,0.7,0,21.6,18,3.3,33.7,67,0,1,1,1,1,265,0,0,0,1,0,0,0,0,0,15,0,3
1,80,30,0.5,-23,3,0,0,6.8,9.3,0,20.3,10.7,0,1,1,1,1,598,0,0,0,1,0,0,0,0,0,15,0,2
0,75,30,0,-16,2,0,0,0,5.3,0,22,18,0,3,3,1,1,1293,44,46,0,0,1,1,0,0,0,15,0,1
